# Blue Lias Formation, Southam Quarry, magnetic susceptibility + lithology
# Source: Weedon et al. 2019, PANGAEA https://doi.org/10.1594/PANGAEA.896875 (CC-BY-4.0)
# UK, Hettangian-Sinemurian limestone-marl-shale rhythmite. Real measurements, 2cm spacing.
height_m,magnetic_susceptibility,lithology
14.52,0.0380,Light marl
14.55,0.0490,Light marl
14.58,0.0490,Light marl
14.61,0.0345,Light marl
14.64,0.0335,Limestone
14.67,0.0215,Limestone
14.70,0.0150,Limestone
14.73,0.0155,Limestone
14.76,0.0130,Limestone
14.79,0.0470,Light marl
14.82,0.0395,Light marl
14.85,0.0345,Light marl
14.88,0.0420,Light marl
14.91,0.0255,Limestone nodule
14.94,0.0140,Limestone nodule
14.97,0.0105,Limestone nodule
15.00,0.0430,Dark marl
15.03,0.0355,Dark marl
15.06,0.0320,Dark marl
15.09,0.0355,Dark marl
15.12,0.0125,Limestone
15.15,0.0125,Limestone
15.18,0.0110,Limestone
15.21,0.0295,Dark marl
15.24,0.0370,Dark marl
15.27,0.0120,Limestone nodule
15.30,0.0095,Limestone nodule
15.33,0.0385,Dark marl
15.36,0.0375,Dark marl
15.39,0.0230,Limestone nodule
15.42,0.0125,Limestone nodule
15.45,0.0130,Limestone nodule
15.48,0.0510,Dark marl
15.51,0.0495,Dark marl
15.54,0.0565,Dark marl
15.57,0.0520,Dark marl
15.60,0.0380,Dark marl
15.63,0.0205,Limestone
15.66,0.0135,Limestone
15.69,0.0105,Limestone
15.72,0.0155,Limestone
15.75,0.0285,Dark marl
15.78,0.0320,Dark marl
15.81,0.0205,Limestone
15.84,0.0160,Limestone
15.87,0.0115,Limestone
15.90,0.0145,Limestone
15.93,0.0470,Dark marl
15.96,0.0425,Dark marl
15.99,0.0440,Dark marl
16.02,0.0595,Dark marl
16.05,0.0555,Dark marl
16.08,0.0535,Dark marl
16.11,0.0465,Light marl
16.14,0.0395,Dark marl
16.17,0.0495,Dark marl
16.20,0.0420,Dark marl
16.23,0.0525,Light marl
16.26,0.0520,Light marl
16.29,0.0485,Light marl
16.32,0.0490,Light marl
16.35,0.0490,Light marl
16.38,0.0525,Light marl
16.41,0.0415,Light marl
16.44,0.0185,Limestone
16.47,0.0195,Limestone
16.50,0.0180,Limestone
16.53,0.0320,Light marl
16.56,0.0495,Light marl
16.59,0.0565,Light marl
16.62,0.0220,Limestone nodule
16.65,0.0170,Limestone nodule
16.68,0.0175,Limestone nodule
16.71,0.0515,Light marl
16.74,0.0520,Light marl
16.77,0.0540,Light marl
16.80,0.0495,Light marl
16.83,0.0515,Light marl
16.86,0.0525,Light marl
16.89,0.0585,Light marl
16.92,0.0495,Light marl
16.95,0.0555,Light marl
16.98,0.0510,Light marl
17.01,0.0520,Light marl
17.04,0.0520,Light marl
17.07,0.0380,Light marl
17.10,0.0445,Light marl
17.13,0.0350,Light marl
17.16,0.0225,Limestone
17.19,0.0175,Limestone
17.22,0.0160,Limestone
17.25,0.0160,Limestone
17.28,0.0215,Limestone
17.31,0.0255,Limestone
17.34,0.0470,Dark marl
17.37,0.0425,Dark marl
17.40,0.0435,Dark marl
17.43,0.0520,Dark marl
17.46,0.0440,Dark marl
17.49,0.0430,Dark marl
17.52,0.0460,Dark marl
17.55,0.0530,Dark marl
17.58,0.0530,Dark marl
17.61,0.0610,Dark marl
17.64,0.0485,Dark marl
17.67,0.0555,Dark marl
17.70,0.0495,Dark marl
17.73,0.0515,Dark marl
17.76,0.0470,Dark marl
17.79,0.0560,Dark marl
17.82,0.0555,Dark marl
17.85,0.0580,Dark marl
17.88,0.0465,Dark marl
17.91,0.0530,Dark marl
17.94,0.0560,Dark marl
17.97,0.0555,Dark marl
18.00,0.0520,Light marl
18.03,0.0565,Light marl
18.06,0.0590,Light marl
18.09,0.0525,Light marl
18.12,0.0610,Light marl
18.15,0.0585,Light marl
18.18,0.0520,Light marl
18.21,0.0525,Light marl
18.24,0.0430,Light marl
18.27,0.0405,Light marl
18.30,0.0315,Limestone
18.33,0.0270,Limestone
18.36,0.0180,Limestone
18.39,0.0140,Limestone
18.42,0.0155,Limestone
18.45,0.0205,Limestone
18.48,0.0380,Light marl
18.51,0.0240,Light marl
18.54,0.0190,Limestone
18.57,0.0185,Limestone
18.60,0.0175,Limestone
18.63,0.0215,Limestone
18.66,0.0225,Limestone
18.69,0.0290,Limestone
18.72,0.0420,Dark marl
18.75,0.0465,Dark marl
18.78,0.0470,Dark marl
18.81,0.0530,Dark marl
18.84,0.0550,Dark marl
18.87,0.0510,Dark marl
18.90,0.0500,Dark marl
18.93,0.0485,Dark marl
18.96,0.0505,Dark marl
18.99,0.0475,Dark marl
19.02,0.0485,Dark marl
19.05,0.0545,Dark marl
19.08,0.0470,Dark marl
19.11,0.0415,Light marl
19.14,0.0560,Light marl
19.17,0.0515,Light marl
19.20,0.0485,Light marl
19.23,0.0380,Light marl
19.26,0.0485,Light marl
19.29,0.0485,Light marl
19.32,0.0510,Light marl
19.35,0.0495,Light marl
19.38,0.0530,Light marl
19.41,0.0535,Light marl
19.44,0.0525,Light marl
19.47,0.0480,Light marl
19.50,0.0480,Light marl
19.53,0.0570,Light marl
19.56,0.0490,Light marl
19.59,0.0540,Light marl
19.62,0.0485,Light marl
19.65,0.0400,Light marl
